"BusinessEntityID","PersonType","NameStyle","Title","FirstName","MiddleName","LastName","Suffix","EmailPromotion","AdditionalContactInfo","Demographics","rowguid","ModifiedDate"
3,"EM",False,"","Roberto","","Tamburello","",0,"","<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>","E1A2555E-0828-434B-A33B-6F38136A37DE","2007-11-04"
4,"EM",False,"","Rob","","Walters","",0,"","<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>","F2D7CE06-38B3-4357-805B-F4B6B71C01FF","2007-11-28"
5,"EM",False,"Ms.","Gail","A","Erickson","",0,"","<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>","F3A3F6B4-AE3B-430C-A754-9F2231BA6FEF","2007-12-30"
12,"EM",False,"","Thierry","B","D'Hers","",2,"","<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>","FA263C7F-600D-4E89-8DCD-0978F3530F5F","2007-12-04"
16,"EM",False,"","David","M","Bradley","",1,"","<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>","2CC8BA72-5DBB-497F-B941-775517993638","2007-12-13"
17,"EM",False,"","Kevin","F","Brown","",2,"","<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>","9EE4713E-B3D8-4409-BC5E-DEC62497F43A","2007-01-19"
28,"EM",False,"","Guy","R","Gilbert","",0,"","<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>","D366A33A-8EDE-42BD-BF79-3E7FB9713FE1","2006-06-23"
40,"EM",False,"","JoLynn","M","Dobney","",1,"","<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>","E8E5C9DA-F808-4439-BF5C-B28236BB8467","2007-12-19"
48,"EM",False,"","Ruth","Ann","Ellerbrock","",0,"","<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>","9BE35B50-2024-4785-9393-7C7AB8D9634D","2007-12-30"
49,"EM",False,"","Barry","K","Johnson","",0,"","<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>","CB28BE2E-DE93-4409-BACE-DF6042D04815","2013-11-29"
